indicator,API_UserName,obs_date,OpDiv,observations,curr_date
118.193.72.187,13983566077459384977,2025-01-01,FDA,2560,2025-01-01
119.200.13.201,13983566077459384977,2025-01-01,FDA,1124,2025-01-01
146.71.50.198,13983566077459384977,2025-01-01,FDA,30391,2025-01-01
147.45.112.222,13983566077459384977,2025-01-01,FDA,17,2025-01-01
147.45.76.186,13983566077459384977,2025-01-01,FDA,60,2025-01-01
152.32.128.214,13983566077459384977,2025-01-01,FDA,3704,2025-01-01
162.142.125.242,13983566077459384977,2025-01-01,FDA,165427,2025-01-01
162.142.125.247,13983566077459384977,2025-01-01,FDA,165428,2025-01-01
162.142.125.255,13983566077459384977,2025-01-01,FDA,164806,2025-01-01
183.215.194.158,13983566077459384977,2025-01-01,FDA,254,2025-01-01
185.129.62.62,13983566077459384977,2025-01-01,FDA,4,2025-01-01
185.32.126.65,13983566077459384977,2025-01-01,FDA,35,2025-01-01
192.42.116.192,13983566077459384977,2025-01-01,FDA,3,2025-01-01
193.32.162.79,13983566077459384977,2025-01-01,FDA,7493,2025-01-01
194.165.16.76,13983566077459384977,2025-01-01,FDA,21,2025-01-01
216.98.158.52,13983566077459384977,2025-01-01,FDA,2253,2025-01-01
221.222.184.230,13983566077459384977,2025-01-01,FDA,5802,2025-01-01
61.153.184.151,13983566077459384977,2025-01-01,FDA,1007,2025-01-01
63.143.57.180,13983566077459384977,2025-01-01,FDA,644,2025-01-01
66.240.227.52,13983566077459384977,2025-01-01,FDA,1400,2025-01-01
74.63.212.51,13983566077459384977,2025-01-01,FDA,1958,2025-01-01
74.63.212.52,13983566077459384977,2025-01-01,FDA,1964,2025-01-01
80.66.83.46,13983566077459384977,2025-01-01,FDA,773989,2025-01-01
80.66.83.49,13983566077459384977,2025-01-01,FDA,751866,2025-01-01
bounces@mail.na3.adobesign.com,13983566077459384977,2025-01-01,FDA,2,2025-01-01
harmony.raga@yahoo.com,13983566077459384977,2025-01-01,FDA,7,2025-01-01
107.189.30.69,13983566077459384977,2025-01-02,FDA,4,2025-01-02
118.193.72.187,13983566077459384977,2025-01-02,FDA,1792,2025-01-02
119.200.13.201,13983566077459384977,2025-01-02,FDA,1190,2025-01-02
146.71.50.198,13983566077459384977,2025-01-02,FDA,25309,2025-01-02
147.45.112.222,13983566077459384977,2025-01-02,FDA,6,2025-01-02
147.45.76.186,13983566077459384977,2025-01-02,FDA,24,2025-01-02
152.32.128.214,13983566077459384977,2025-01-02,FDA,3737,2025-01-02
162.142.125.242,13983566077459384977,2025-01-02,FDA,164868,2025-01-02
162.142.125.247,13983566077459384977,2025-01-02,FDA,164861,2025-01-02
