Indicator,Observed Today,Frequency (7d),Frequency (30d),Probability: Today,Confidence: Today,Probability: 7-Day,Confidence: 7-Day,Probability: 14-Day,Confidence: 14-Day,Probability: 30-Day,Confidence: 30-Day
185.227.152.113,1,2.0,2.0,22.94%,Today: Possibly active,90.26%,7-Day: Highly likely,98.04%,14-Day: Highly likely,100.0%,30-Day: Highly likely
185.230.63.171,0,0.0,22.0,1.33%,Today: Low confidence,50.61%,7-Day: Low confidence,100.0%,14-Day: Low confidence,100.0%,30-Day: Low confidence
185.242.226.80,0,1.0,1.0,8.41%,Today: Possibly active,55.7%,7-Day: Possibly active,64.27%,14-Day: Possibly active,74.42%,30-Day: Possibly active
185.248.85.14,0,1.0,3.0,9.69%,Today: Possibly active,85.9%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
185.65.134.75,1,3.0,6.0,30.45%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
185.65.134.76,0,0.0,0.0,0.01%,Today: Low confidence,0.05%,7-Day: Low confidence,0.08%,14-Day: Low confidence,10.79%,30-Day: Low confidence
187.141.210.92,0,0.0,1.0,2.65%,Today: Low confidence,15.41%,7-Day: Low confidence,60.72%,14-Day: Low confidence,74.12%,30-Day: Low confidence
190.120.0.154,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
190.202.131.222,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
190.211.255.218,0,0.0,4.0,0.84%,Today: Low confidence,29.31%,7-Day: Low confidence,94.39%,14-Day: Low confidence,100.0%,30-Day: Low confidence
190.92.174.129,1,3.0,5.0,47.6%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
190.92.174.130,0,2.0,12.0,9.77%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
190.92.174.30,0,0.0,6.0,0.19%,Today: Low confidence,27.9%,7-Day: Low confidence,52.79%,14-Day: Low confidence,84.19%,30-Day: Low confidence
190.92.174.36,1,5.0,20.0,56.42%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
190.92.174.45,0,0.0,2.0,1.31%,Today: Low confidence,21.54%,7-Day: Low confidence,82.33%,14-Day: Low confidence,100.0%,30-Day: Low confidence
190.92.174.48,0,0.0,3.0,0.47%,Today: Low confidence,22.01%,7-Day: Low confidence,81.33%,14-Day: Low confidence,100.0%,30-Day: Low confidence
190.92.174.50,0,0.0,5.0,1.02%,Today: Low confidence,33.87%,7-Day: Low confidence,98.37%,14-Day: Low confidence,100.0%,30-Day: Low confidence
190.92.174.87,0,3.0,10.0,23.47%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
190.92.174.92,0,1.0,4.0,15.06%,Today: Possibly active,88.51%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
190.92.174.98,0,0.0,2.0,1.31%,Today: Low confidence,23.55%,7-Day: Low confidence,87.61%,14-Day: Low confidence,100.0%,30-Day: Low confidence
191.96.227.137,0,0.0,4.0,0.94%,Today: Low confidence,31.3%,7-Day: Low confidence,95.89%,14-Day: Low confidence,100.0%,30-Day: Low confidence
192.124.249.112,1,7.0,30.0,92.32%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
192.155.84.28,1,7.0,29.0,89.21%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
192.166.244.248,0,0.0,1.0,0.52%,Today: Low confidence,10.87%,7-Day: Low confidence,62.4%,14-Day: Low confidence,95.73%,30-Day: Low confidence
192.200.148.241,1,2.0,7.0,16.2%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
192.200.148.242,1,3.0,7.0,35.38%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.105.73.21,0,4.0,11.0,24.55%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.138.7.158,0,0.0,1.0,2.65%,Today: Low confidence,15.41%,7-Day: Low confidence,60.72%,14-Day: Low confidence,74.12%,30-Day: Low confidence
193.163.125.103,1,7.0,22.0,95.29%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.107,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.108,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.115,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.121,1,7.0,15.0,96.96%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.127,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.143,1,7.0,22.0,95.29%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.149,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.153,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.178,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.191,1,7.0,15.0,96.96%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.206,1,7.0,15.0,96.96%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.226,1,7.0,22.0,95.29%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.244,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.31,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.39,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.42,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.45,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.47,1,7.0,22.0,95.29%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.49,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.51,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.52,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.71,1,7.0,22.0,95.29%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.74,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.75,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.163.125.76,1,7.0,15.0,96.96%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.174.89.19,0,1.0,1.0,20.06%,Today: Possibly active,59.05%,7-Day: Possibly active,65.83%,14-Day: Possibly active,74.92%,30-Day: Possibly active
193.238.157.16,0,1.0,3.0,6.1%,Today: Low confidence,73.59%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
193.24.211.30,1,4.0,10.0,54.87%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.32.162.104,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.32.162.21,0,2.0,6.0,15.51%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.32.162.96,1,7.0,8.0,98.05%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
193.34.212.110,0,0.0,1.0,0.54%,Today: Low confidence,8.55%,7-Day: Low confidence,21.01%,14-Day: Low confidence,48.51%,30-Day: Low confidence
194.127.199.3,0,0.0,1.0,1.79%,Today: Low confidence,12.99%,7-Day: Low confidence,57.79%,14-Day: Low confidence,74.01%,30-Day: Low confidence
194.163.159.240,0,0.0,3.0,2.04%,Today: Low confidence,26.29%,7-Day: Low confidence,95.03%,14-Day: Low confidence,100.0%,30-Day: Low confidence
194.180.49.218,0,0.0,0.0,0.0%,Today: Low confidence,0.14%,7-Day: Low confidence,0.67%,14-Day: Low confidence,4.37%,30-Day: Low confidence
194.180.49.219,0,0.0,0.0,0.0%,Today: Low confidence,0.16%,7-Day: Low confidence,0.77%,14-Day: Low confidence,4.63%,30-Day: Low confidence
194.180.49.70,0,0.0,0.0,0.01%,Today: Low confidence,0.2%,7-Day: Low confidence,0.96%,14-Day: Low confidence,5.26%,30-Day: Low confidence
194.180.49.71,0,0.0,0.0,0.0%,Today: Low confidence,0.16%,7-Day: Low confidence,0.77%,14-Day: Low confidence,4.63%,30-Day: Low confidence
194.180.49.76,0,3.0,6.0,26.46%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
194.230.144.50,0,0.0,0.0,0.01%,Today: Low confidence,0.04%,7-Day: Low confidence,0.06%,14-Day: Low confidence,9.25%,30-Day: Low confidence
194.230.148.99,0,0.0,1.0,0.06%,Today: Low confidence,6.5%,7-Day: Low confidence,11.87%,14-Day: Low confidence,43.34%,30-Day: Low confidence
194.230.158.107,0,0.0,0.0,0.0%,Today: Low confidence,0.02%,7-Day: Low confidence,0.02%,14-Day: Low confidence,4.51%,30-Day: Low confidence
194.230.160.5,0,0.0,1.0,0.04%,Today: Low confidence,6.41%,7-Day: Low confidence,11.58%,14-Day: Low confidence,40.92%,30-Day: Low confidence
194.26.192.77,0,1.0,1.0,8.41%,Today: Possibly active,55.7%,7-Day: Possibly active,64.27%,14-Day: Possibly active,74.42%,30-Day: Possibly active
194.5.53.206,0,1.0,8.0,4.1%,Today: Low confidence,95.27%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
195.3.221.137,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
195.35.44.98,1,2.0,2.0,22.94%,Today: Possibly active,90.26%,7-Day: Highly likely,98.04%,14-Day: Highly likely,100.0%,30-Day: Highly likely
195.47.238.176,0,0.0,0.0,0.0%,Today: Low confidence,0.07%,7-Day: Low confidence,0.33%,14-Day: Low confidence,1.84%,30-Day: Low confidence
196.251.69.91,1,7.0,17.0,81.81%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
196.251.70.76,1,3.0,6.0,37.01%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
196.251.70.87,0,0.0,3.0,2.04%,Today: Low confidence,26.29%,7-Day: Low confidence,95.03%,14-Day: Low confidence,100.0%,30-Day: Low confidence
196.251.72.29,1,2.0,4.0,19.95%,Today: Possibly active,96.65%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
196.251.73.102,0,0.0,1.0,0.66%,Today: Low confidence,9.03%,7-Day: Low confidence,22.92%,14-Day: Low confidence,48.63%,30-Day: Low confidence
196.251.73.96,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
196.251.83.136,1,7.0,21.0,92.93%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
196.251.83.76,1,3.0,12.0,29.33%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
196.251.86.80,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
196.251.87.59,1,7.0,10.0,95.9%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
196.251.88.89,0,0.0,4.0,0.98%,Today: Low confidence,32.26%,7-Day: Low confidence,97.28%,14-Day: Low confidence,100.0%,30-Day: Low confidence
198.105.125.74,0,0.0,3.0,2.33%,Today: Low confidence,29.8%,7-Day: Low confidence,97.12%,14-Day: Low confidence,100.0%,30-Day: Low confidence
198.251.88.248,0,0.0,5.0,1.8%,Today: Low confidence,32.12%,7-Day: Low confidence,99.33%,14-Day: Low confidence,100.0%,30-Day: Low confidence
198.38.83.34,0,0.0,1.0,0.06%,Today: Low confidence,6.5%,7-Day: Low confidence,11.87%,14-Day: Low confidence,43.34%,30-Day: Low confidence
198.38.84.58,0,4.0,13.0,31.39%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
198.44.129.82,1,2.0,3.0,24.32%,Today: Possibly active,91.47%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
198.44.129.99,0,0.0,3.0,0.37%,Today: Low confidence,21.14%,7-Day: Low confidence,52.97%,14-Day: Low confidence,82.79%,30-Day: Low confidence
198.44.136.35,0,0.0,0.0,0.01%,Today: Low confidence,0.44%,7-Day: Low confidence,2.15%,14-Day: Low confidence,14.94%,30-Day: Low confidence
198.44.136.99,0,0.0,0.0,0.01%,Today: Low confidence,0.03%,7-Day: Low confidence,0.04%,14-Day: Low confidence,6.58%,30-Day: Low confidence
198.55.98.76,1,5.0,13.0,73.78%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
198.96.155.3,0,3.0,13.0,26.38%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
198.98.54.209,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.01%,30-Day: Low confidence
200.21.254.245,1,2.0,7.0,13.24%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
202.131.82.186,0,0.0,0.0,0.01%,Today: Low confidence,0.38%,7-Day: Low confidence,1.82%,14-Day: Low confidence,13.53%,30-Day: Low confidence
203.160.68.12,0,0.0,0.0,0.0%,Today: Low confidence,0.01%,7-Day: Low confidence,0.02%,14-Day: Low confidence,3.7%,30-Day: Low confidence
203.160.86.69,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.0%,30-Day: Low confidence
203.160.86.94,0,0.0,1.0,0.09%,Today: Low confidence,6.62%,7-Day: Low confidence,12.35%,14-Day: Low confidence,45.17%,30-Day: Low confidence
203.205.6.137,0,0.0,0.0,0.0%,Today: Low confidence,0.11%,7-Day: Low confidence,0.52%,14-Day: Low confidence,3.54%,30-Day: Low confidence
203.239.31.150,0,0.0,0.0,0.0%,Today: Low confidence,0.01%,7-Day: Low confidence,0.04%,14-Day: Low confidence,0.22%,30-Day: Low confidence
204.188.208.138,1,3.0,3.0,47.8%,Today: Possibly active,94.98%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
204.194.29.4,0,2.0,8.0,6.46%,Today: Low confidence,99.55%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
204.76.203.201,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
204.76.203.206,1,7.0,17.0,96.56%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
204.76.203.208,0,0.0,2.0,0.35%,Today: Low confidence,18.2%,7-Day: Low confidence,50.67%,14-Day: Low confidence,80.3%,30-Day: Low confidence
204.76.203.212,1,7.0,17.0,96.56%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
204.76.203.219,1,7.0,17.0,96.56%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
206.189.179.202,0,4.0,7.0,51.52%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
206.217.206.68,0,0.0,8.0,1.48%,Today: Low confidence,37.23%,7-Day: Low confidence,100.0%,14-Day: Low confidence,100.0%,30-Day: Low confidence
207.148.0.54,0,0.0,2.0,0.06%,Today: Low confidence,13.24%,7-Day: Low confidence,28.09%,14-Day: Low confidence,73.17%,30-Day: Low confidence
208.87.233.190,0,0.0,0.0,0.0%,Today: Low confidence,0.07%,7-Day: Low confidence,0.33%,14-Day: Low confidence,1.84%,30-Day: Low confidence
209.141.35.136,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
211.38.170.163,1,1.0,1.0,23.47%,Today: Possibly active,59.45%,7-Day: Possibly active,65.99%,14-Day: Possibly active,75.06%,30-Day: Possibly active
213.136.68.40,0,1.0,8.0,4.76%,Today: Low confidence,94.45%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
213.207.184.98,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
213.209.129.21,0,1.0,6.0,2.22%,Today: Low confidence,85.12%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
213.209.143.38,0,2.0,9.0,18.92%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
216.131.120.90,1,2.0,14.0,13.76%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
216.131.120.91,1,5.0,15.0,63.12%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
216.131.72.131,0,1.0,10.0,1.76%,Today: Low confidence,91.26%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
216.131.84.178,0,0.0,7.0,0.89%,Today: Low confidence,37.92%,7-Day: Low confidence,100.0%,14-Day: Low confidence,100.0%,30-Day: Low confidence
216.131.84.179,0,0.0,6.0,1.02%,Today: Low confidence,39.29%,7-Day: Low confidence,100.0%,14-Day: Low confidence,100.0%,30-Day: Low confidence
216.151.180.15,0,0.0,3.0,1.14%,Today: Low confidence,29.54%,7-Day: Low confidence,94.5%,14-Day: Low confidence,100.0%,30-Day: Low confidence
216.151.180.16,0,1.0,10.0,4.16%,Today: Low confidence,95.83%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
217.170.194.54,1,7.0,28.0,82.54%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
223.25.1.25,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
23.205.105.180,0,0.0,0.0,0.0%,Today: Low confidence,0.04%,7-Day: Low confidence,0.19%,14-Day: Low confidence,1.25%,30-Day: Low confidence
3.14.182.203,0,3.0,16.0,20.09%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
3.213.237.181,0,0.0,0.0,0.0%,Today: Low confidence,0.15%,7-Day: Low confidence,0.71%,14-Day: Low confidence,5.54%,30-Day: Low confidence
3.248.33.252,1,5.0,12.0,67.89%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
31.177.76.32,0,1.0,2.0,8.6%,Today: Possibly active,82.58%,7-Day: Possibly active,97.76%,14-Day: Possibly active,100.0%,30-Day: Possibly active
31.177.80.32,0,1.0,2.0,8.6%,Today: Possibly active,82.58%,7-Day: Possibly active,97.76%,14-Day: Possibly active,100.0%,30-Day: Possibly active
34.107.61.226,0,0.0,1.0,0.54%,Today: Low confidence,8.55%,7-Day: Low confidence,21.01%,14-Day: Low confidence,48.51%,30-Day: Low confidence
34.196.190.252,0,1.0,1.0,23.51%,Today: Possibly active,65.17%,7-Day: Possibly active,88.26%,14-Day: Possibly active,98.91%,30-Day: Possibly active
34.83.195.219,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
34.93.116.234,0,0.0,1.0,0.81%,Today: Low confidence,9.61%,7-Day: Low confidence,24.95%,14-Day: Low confidence,48.73%,30-Day: Low confidence
35.0.127.52,0,2.0,5.0,17.11%,Today: Possibly active,98.07%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
35.157.198.100,1,2.0,2.0,22.94%,Today: Possibly active,90.26%,7-Day: Highly likely,98.04%,14-Day: Highly likely,100.0%,30-Day: Highly likely
37.19.200.131,0,0.0,2.0,0.02%,Today: Low confidence,12.2%,7-Day: Low confidence,22.94%,14-Day: Low confidence,61.58%,30-Day: Low confidence
37.19.200.142,0,0.0,4.0,0.89%,Today: Low confidence,30.82%,7-Day: Low confidence,94.88%,14-Day: Low confidence,100.0%,30-Day: Low confidence
37.19.200.151,1,6.0,23.0,73.48%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
37.19.200.155,0,4.0,8.0,47.17%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
37.19.210.2,0,0.0,4.0,0.35%,Today: Low confidence,24.06%,7-Day: Low confidence,55.27%,14-Day: Low confidence,83.71%,30-Day: Low confidence
37.44.238.88,0,0.0,0.0,0.0%,Today: Low confidence,0.03%,7-Day: Low confidence,0.15%,14-Day: Low confidence,0.97%,30-Day: Low confidence
43.225.189.132,0,2.0,12.0,5.38%,Today: Low confidence,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
43.225.189.163,0,0.0,9.0,0.76%,Today: Low confidence,43.54%,7-Day: Low confidence,100.0%,14-Day: Low confidence,100.0%,30-Day: Low confidence
43.99.243.201,0,0.0,2.0,0.29%,Today: Low confidence,17.56%,7-Day: Low confidence,48.07%,14-Day: Low confidence,80.12%,30-Day: Low confidence
45.119.84.18,0,0.0,0.0,0.0%,Today: Low confidence,0.2%,7-Day: Low confidence,0.94%,14-Day: Low confidence,7.05%,30-Day: Low confidence
45.125.66.85,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
45.134.140.131,0,0.0,3.0,0.21%,Today: Low confidence,18.29%,7-Day: Low confidence,40.81%,14-Day: Low confidence,79.64%,30-Day: Low confidence
45.134.212.80,0,0.0,2.0,1.47%,Today: Low confidence,27.09%,7-Day: Low confidence,91.48%,14-Day: Low confidence,100.0%,30-Day: Low confidence
45.134.79.98,0,0.0,1.0,0.07%,Today: Low confidence,7.48%,7-Day: Low confidence,17.84%,14-Day: Low confidence,59.97%,30-Day: Low confidence
45.135.194.13,0,2.0,6.0,8.5%,Today: Possibly active,98.87%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
45.135.57.192,1,7.0,29.0,92.77%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
45.137.22.105,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.65%,30-Day: Low confidence
45.142.193.106,0,0.0,11.0,0.1%,Today: Low confidence,32.44%,7-Day: Low confidence,50.04%,14-Day: Low confidence,84.37%,30-Day: Low confidence
45.142.193.121,0,0.0,3.0,1.38%,Today: Low confidence,24.0%,7-Day: Low confidence,65.46%,14-Day: Low confidence,82.24%,30-Day: Low confidence
45.142.193.131,0,0.0,0.0,0.0%,Today: Low confidence,0.02%,7-Day: Low confidence,0.09%,14-Day: Low confidence,0.62%,30-Day: Low confidence
45.142.193.141,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.02%,14-Day: Low confidence,0.11%,30-Day: Low confidence
45.142.193.152,0,0.0,0.0,0.0%,Today: Low confidence,0.01%,7-Day: Low confidence,0.02%,14-Day: Low confidence,0.13%,30-Day: Low confidence
45.142.193.162,0,0.0,6.0,1.38%,Today: Low confidence,32.96%,7-Day: Low confidence,98.16%,14-Day: Low confidence,100.0%,30-Day: Low confidence
45.142.193.183,0,0.0,9.0,0.07%,Today: Low confidence,29.48%,7-Day: Low confidence,44.09%,14-Day: Low confidence,82.88%,30-Day: Low confidence
45.142.193.185,0,4.0,21.0,13.44%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
45.142.193.196,0,0.0,0.0,0.0%,Today: Low confidence,0.06%,7-Day: Low confidence,0.29%,14-Day: Low confidence,1.61%,30-Day: Low confidence
45.142.193.207,0,0.0,12.0,0.11%,Today: Low confidence,33.16%,7-Day: Low confidence,51.58%,14-Day: Low confidence,84.52%,30-Day: Low confidence
45.142.193.247,0,0.0,12.0,0.11%,Today: Low confidence,33.16%,7-Day: Low confidence,51.58%,14-Day: Low confidence,84.52%,30-Day: Low confidence
45.142.193.51,0,0.0,9.0,0.04%,Today: Low confidence,29.23%,7-Day: Low confidence,41.35%,14-Day: Low confidence,82.18%,30-Day: Low confidence
